description,category
POS DEBIT 902423237023 CULTFIT,Health & Fitness
UPI/P2M/322660309135/UDEMY,Education
POS DEBIT 449541425449 PRIMEVIDEO,Entertainment
UPI/P2M/730877110347/GIFT,Miscellaneous
NEFT CR-782879505498-SALARY CREDIT,Income
NEFT CR-707391241094-RENTAL INCOME,Income
UPI/P2M/484671862568/BLINKIT,Groceries
POS DEBIT 324589555159 UNIVERSITYFEES,Education
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/744356335902/ZOMATO,Food & Drinks
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 526039794836 CASHWITHDRAWAL,Withdrawals
POS DEBIT 789771758650 MUTUALFUNDSIP,Investments
UPI/P2M/504975961163/ZERODHA,Investments
POS DEBIT 141685469041 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 954057419315 CASHWITHDRAWAL,Withdrawals
UPI/P2M/972141214984/NETFLIX.COM,Entertainment
POS DEBIT 774794125319 BANKCHARGES,Miscellaneous
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 644679644261 CASHWITHDRAWAL,Withdrawals
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/435659576034/UDEMY,Education
UPI/P2M/295574944782/H&M,Shopping
UPI/P2M/426507275023/AMAZON,Shopping
POS DEBIT 517111997617 LOCALSUPERMARKET,Groceries
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 686902104473 THEBEERCAFE,Food & Drinks
POS DEBIT 493743423101 UNIVERSITYFEES,Education
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 403520244825 APOLLOPHARMACY,Health & Fitness
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/295430730020/MCDONALDS,Food & Drinks
POS DEBIT 886652770412 CASHWITHDRAWAL,Withdrawals
UPI/P2M/106841394180/MAKEMYTRIP,Travel & Transport
UPI/P2M/849205312698/UPSTOX,Investments
UPI/P2M/390719510409/ZOMATO,Food & Drinks
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 892481465533 CASHWITHDRAWAL,Withdrawals
NEFT CR-976526355226-RENTAL INCOME,Income
UPI/P2M/348399240923/UBER,Travel & Transport
POS DEBIT 348999126392 VODAFONEIDEA,Bills & Utilities
POS DEBIT 570459683567 RELIANCEDIGITAL,Shopping
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
NEFT CR-557616169313-SALARY CREDIT,Income
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
NEFT CR-123285979488-SALARY CREDIT,Income
POS DEBIT 988881450170 INDIANRAILWAYS,Travel & Transport
UPI/P2M/283923868371/BOOKMYSHOW,Entertainment
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 888391178646 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/245935389525/GOIBIBO,Travel & Transport
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/492837968478/BLINKIT,Groceries
POS DEBIT 684302402844 APOLLOPHARMACY,Health & Fitness
POS DEBIT 936682856083 CASHWITHDRAWAL,Withdrawals
UPI/P2M/506598422403/JIOMART,Groceries
POS DEBIT 424093103601 DOMINOSPIZZA,Food & Drinks
POS DEBIT 578860368528 LOCALGYM,Health & Fitness
POS DEBIT 383733992898 RELIANCEDIGITAL,Shopping
UPI/P2M/603733423493/UDEMY,Education
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 110208792949 CULTFIT,Health & Fitness
UPI/P2M/570338223667/GOIBIBO,Travel & Transport
UPI/P2M/264274639880/UDEMY,Education
POS DEBIT 362295678415 RELIANCEDIGITAL,Shopping
NEFT CR-107240966576-SALARY CREDIT,Income
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 697107979205 CASHWITHDRAWAL,Withdrawals
POS DEBIT 975928266132 VODAFONEIDEA,Bills & Utilities
POS DEBIT 893549934018 OLACABS,Travel & Transport
NEFT CR-164104011614-FREELANCE PAYMENT,Income
UPI/P2M/344029138131/BOOKMYSHOW,Entertainment
UPI/P2M/186801626423/GOIBIBO,Travel & Transport
POS DEBIT 456561487924 PRIMEVIDEO,Entertainment
POS DEBIT 575167589130 PVRCINEMAS,Entertainment
UPI/P2M/196248151166/ZOMATO,Food & Drinks
UPI/P2M/842499651091/UDEMY,Education
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/392249651801/BIGBASKET,Groceries
UPI/P2M/574723295577/BIGBASKET,Groceries
POS DEBIT 416297979983 LOCALSUPERMARKET,Groceries
UPI/P2M/937218155524/SWIGGY,Food & Drinks
UPI/P2M/926084642966/NETFLIX.COM,Entertainment
POS DEBIT 171461444525 CASHWITHDRAWAL,Withdrawals
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 718782087002 PRIMEVIDEO,Entertainment
UPI/P2M/942954022580/UDEMY,Education
UPI/P2M/570698339335/COURSERA,Education
UPI/P2M/980040030193/UPSTOX,Investments
UPI/P2M/272487694767/UDEMY,Education
UPI/P2M/327053266336/NETFLIX.COM,Entertainment
UPI/P2M/614616331500/UPSTOX,Investments
NEFT CR-171452596319-RENTAL INCOME,Income
UPI/P2M/368917804214/GROWW,Investments
UPI/P2M/324609446162/UPSTOX,Investments
POS DEBIT 464580595874 REDBUS,Travel & Transport
UPI/P2M/367177761782/ZERODHA,Investments
UPI/P2M/466258474633/UBER,Travel & Transport
POS DEBIT 611978617474 REDBUS,Travel & Transport
UPI/P2M/300477589230/GROWW,Investments
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 405191320672 MISCPURCHASE,Miscellaneous
POS DEBIT 318277421507 OLACABS,Travel & Transport
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/729663904796/COURSERA,Education
UPI/P2M/566834183833/MYNTRA,Shopping
POS DEBIT 702346199599 CASHWITHDRAWAL,Withdrawals
UPI/P2M/555731862195/BLINKIT,Groceries
UPI/P2M/753276919285/NETFLIX.COM,Entertainment
UPI/P2M/591659572674/MAKEMYTRIP,Travel & Transport
POS DEBIT 502269088103 CASHWITHDRAWAL,Withdrawals
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/679326983652/STARBUCKS,Food & Drinks
POS DEBIT 418657467263 APOLLOPHARMACY,Health & Fitness
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/530353235763/COURSERA,Education
UPI/P2M/808018918731/AIRTEL,Bills & Utilities
POS DEBIT 466084756872 CASHWITHDRAWAL,Withdrawals
POS DEBIT 460847987915 MISCPURCHASE,Miscellaneous
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/353064278933/COURSERA,Education
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/546912238102/MYPROTEIN,Health & Fitness
UPI/P2M/801956145695/JIOMART,Groceries
POS DEBIT 644404795468 CASHWITHDRAWAL,Withdrawals
UPI/P2M/222638017042/UDEMY,Education
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 794029949956 LOCALGYM,Health & Fitness
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 150576603926 CASHWITHDRAWAL,Withdrawals
UPI/P2M/823663652453/GOIBIBO,Travel & Transport
POS DEBIT 572718505015 CASHWITHDRAWAL,Withdrawals
UPI/P2M/532451000608/GOIBIBO,Travel & Transport
POS DEBIT 643094223936 CULTFIT,Health & Fitness
POS DEBIT 282968304467 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/789612625702/SWIGGY,Food & Drinks
POS DEBIT 451360855776 CASHWITHDRAWAL,Withdrawals
POS DEBIT 760351637639 THEBEERCAFE,Food & Drinks
POS DEBIT 835294997856 MISCPURCHASE,Miscellaneous
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/239853388303/GROWW,Investments
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/975471578669/BOOKMYSHOW,Entertainment
UPI/P2M/853092593889/BIGBASKET,Groceries
UPI/P2M/825374591459/ZEPTO,Groceries
UPI/P2M/638177578178/MCDONALDS,Food & Drinks
POS DEBIT 747152676344 UNIVERSITYFEES,Education
UPI/P2M/316015589483/COURSERA,Education
UPI/P2M/574924433949/ZEPTO,Groceries
POS DEBIT 977326071834 PRIMEVIDEO,Entertainment
UPI/P2M/128392420316/MYNTRA,Shopping
UPI/P2M/918197012906/NETFLIX.COM,Entertainment
POS DEBIT 583716956695 THEBEERCAFE,Food & Drinks
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/293063280727/NETFLIX.COM,Entertainment
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 988850476067 VODAFONEIDEA,Bills & Utilities
UPI/P2M/606261389708/MYPROTEIN,Health & Fitness
UPI/P2M/305888967070/ZOMATO,Food & Drinks
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 347371404217 CASHWITHDRAWAL,Withdrawals
UPI/P2M/219340772118/ZEPTO,Groceries
POS DEBIT 934714110096 CASHWITHDRAWAL,Withdrawals
NEFT CR-285292169838-FREELANCE PAYMENT,Income
UPI/P2M/149633995120/COURSERA,Education
POS DEBIT 276197698456 PRIMEVIDEO,Entertainment
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/362248738550/BSNL,Bills & Utilities
POS DEBIT 863246162370 CULTFIT,Health & Fitness
NEFT CR-667349650236-SALARY CREDIT,Income
UPI/P2M/417359073683/BIGBASKET,Groceries
UPI/P2M/794993544678/JIOMART,Groceries
UPI/P2M/982848568698/GOIBIBO,Travel & Transport
UPI/P2M/163260184205/UDEMY,Education
UPI/P2M/381785022587/JIOMART,Groceries
UPI/P2M/874751972293/STARBUCKS,Food & Drinks
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 440326416422 APOLLOPHARMACY,Health & Fitness
UPI/P2M/287268443137/AIRTEL,Bills & Utilities
POS DEBIT 282527545767 INDIANRAILWAYS,Travel & Transport
UPI/P2M/704395378581/NETFLIX.COM,Entertainment
POS DEBIT 627827703684 MUTUALFUNDSIP,Investments
POS DEBIT 793316753536 DOMINOSPIZZA,Food & Drinks
POS DEBIT 592001238721 OLACABS,Travel & Transport
POS DEBIT 379738101043 MISCPURCHASE,Miscellaneous
UPI/P2M/127876580345/COURSERA,Education
UPI/P2M/529577114399/ZOMATO,Food & Drinks
POS DEBIT 642323742837 OLACABS,Travel & Transport
POS DEBIT 824853003714 PVRCINEMAS,Entertainment
UPI/P2M/172976152131/ZERODHA,Investments
POS DEBIT 940254902258 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 932642843373 CASHWITHDRAWAL,Withdrawals
POS DEBIT 826111097133 UNIVERSITYFEES,Education
POS DEBIT 261584992679 MUTUALFUNDSIP,Investments
UPI/P2M/927439031522/UPSTOX,Investments
UPI/P2M/407348641262/AMAZON,Shopping
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 493145220039 OLACABS,Travel & Transport
UPI/P2M/760366667766/ZOMATO,Food & Drinks
POS DEBIT 219508412795 UNIVERSITYFEES,Education
UPI/P2M/314698952740/JIOMART,Groceries
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 332954027034 CASHWITHDRAWAL,Withdrawals
POS DEBIT 995780334390 CASHWITHDRAWAL,Withdrawals
POS DEBIT 725328348015 REDBUS,Travel & Transport
POS DEBIT 325087231360 RELIANCEDIGITAL,Shopping
UPI/P2M/295388323222/ZERODHA,Investments
NEFT CR-103092942422-SALARY CREDIT,Income
NEFT CR-855756209616-SALARY CREDIT,Income
UPI/P2M/299205532363/ZARA,Shopping
NEFT CR-692483598363-SALARY CREDIT,Income
POS DEBIT 915714461907 UNIVERSITYFEES,Education
UPI/P2M/965392276775/MYPROTEIN,Health & Fitness
NEFT CR-677774272998-FREELANCE PAYMENT,Income
POS DEBIT 365365034123 APOLLOPHARMACY,Health & Fitness
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 343302294499 CASHWITHDRAWAL,Withdrawals
POS DEBIT 286837802577 CASHWITHDRAWAL,Miscellaneous
POS DEBIT 112402873021 LOCALGYM,Health & Fitness
UPI/P2M/250972045249/ZERODHA,Investments
UPI/P2M/801918071610/GIFT,Miscellaneous
POS DEBIT 393140292427 CASHWITHDRAWAL,Miscellaneous
POS DEBIT 974147342545 OLACABS,Travel & Transport
POS DEBIT 627216009564 CASHWITHDRAWAL,Withdrawals
UPI/P2M/460802270019/MCDONALDS,Food & Drinks
POS DEBIT 004746641544 BANKCHARGES,Miscellaneous
POS DEBIT 458601002125 CASHWITHDRAWAL,Withdrawals
UPI/P2M/236894337383/UPSTOX,Investments
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/750133859032/SWIGGY,Food & Drinks
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/507797259843/BOOKMYSHOW,Entertainment
UPI/P2M/219695194883/UPSTOX,Investments
UPI/P2M/253052873950/BOOKMYSHOW,Entertainment
POS DEBIT 176326604846 MISCPURCHASE,Miscellaneous
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/352309242314/MYPROTEIN,Health & Fitness
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/428778795205/ZERODHA,Investments
UPI/P2M/818087236758/STARBUCKS,Food & Drinks
UPI/P2M/922852961861/BIGBASKET,Groceries
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 975338841348 INDIANRAILWAYS,Travel & Transport
POS DEBIT 803039343695 CASHWITHDRAWAL,Withdrawals
UPI/P2M/669338546701/UPSTOX,Investments
POS DEBIT 641080212382 INDIANRAILWAYS,Travel & Transport
POS DEBIT 205758860763 UNIVERSITYFEES,Education
POS DEBIT 886164174067 UNIVERSITYFEES,Education
UPI/P2M/214191733541/MYNTRA,Shopping
POS DEBIT 329910486091 UNIVERSITYFEES,Education
UPI/P2M/269162446167/ZERODHA,Investments
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 947295822169 PVRCINEMAS,Entertainment
UPI/P2M/276038459285/GROWW,Investments
UPI/P2M/212949186518/BOOKMYSHOW,Entertainment
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/558107187417/GROWW,Investments
POS DEBIT 231954722163 OLACABS,Travel & Transport
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/335926045441/GOIBIBO,Travel & Transport
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
NEFT CR-590923808377-FREELANCE PAYMENT,Income
UPI/P2M/620021243921/GOIBIBO,Travel & Transport
UPI/P2M/640850111218/UPSTOX,Investments
UPI/P2M/998994115790/ZARA,Shopping
UPI/P2M/456644993999/ZERODHA,Investments
UPI/P2M/460962350854/ZOMATO,Food & Drinks
UPI/P2M/163852041834/GOIBIBO,Travel & Transport
POS DEBIT 677460018025 THEBEERCAFE,Food & Drinks
POS DEBIT 351952429624 VODAFONEIDEA,Bills & Utilities
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 429350927368 REDBUS,Travel & Transport
POS DEBIT 285601083967 INDIANRAILWAYS,Travel & Transport
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/474579604838/ZEPTO,Groceries
UPI/P2M/783379492403/JIOMART,Groceries
POS DEBIT 884542964701 CASHWITHDRAWAL,Withdrawals
UPI/P2M/542053034644/MYNTRA,Shopping
POS DEBIT 334062090982 THEBEERCAFE,Food & Drinks
POS DEBIT 163862631695 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/739077734029/JIOMART,Groceries
UPI/P2M/482927550850/GROWW,Investments
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/139284718173/MYNTRA,Shopping
POS DEBIT 646127401145 CASHWITHDRAWAL,Withdrawals
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/596897189179/BOOKMYSHOW,Entertainment
UPI/P2M/685208923784/GOIBIBO,Travel & Transport
UPI/P2M/480707541178/UDEMY,Education
UPI/P2M/844356095234/ZOMATO,Food & Drinks
POS DEBIT 505910711816 MUTUALFUNDSIP,Investments
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/737784718707/COURSERA,Education
UPI/P2M/485924578001/BOOKMYSHOW,Entertainment
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
NEFT CR-363165348904-FREELANCE PAYMENT,Income
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 413866860190 UNIVERSITYFEES,Education
UPI/P2M/415251822117/ZEPTO,Groceries
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 478574486355 OLACABS,Travel & Transport
POS DEBIT 290048087647 MUTUALFUNDSIP,Investments
POS DEBIT 782159496627 CASHWITHDRAWAL,Withdrawals
POS DEBIT 452868674206 CULTFIT,Health & Fitness
POS DEBIT 131310917752 CASHWITHDRAWAL,Withdrawals
POS DEBIT 993895932244 OLACABS,Travel & Transport
POS DEBIT 465590605534 PVRCINEMAS,Entertainment
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/547013595409/BIGBASKET,Groceries
POS DEBIT 480741913886 PVRCINEMAS,Entertainment
UPI/P2M/770196634566/SWIGGY,Food & Drinks
NEFT CR-244854888226-RENTAL INCOME,Income
UPI/P2M/934836348780/MYPROTEIN,Health & Fitness
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 308827895000 LOCALGYM,Health & Fitness
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 783239812246 LOCALGYM,Health & Fitness
POS DEBIT 958464770514 PRIMEVIDEO,Entertainment
POS DEBIT 110949993182 OLACABS,Travel & Transport
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 860949675041 CASHWITHDRAWAL,Withdrawals
UPI/P2M/119589577337/MAKEMYTRIP,Travel & Transport
UPI/P2M/799512653472/MAKEMYTRIP,Travel & Transport
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 925140998716 MISCPURCHASE,Miscellaneous
POS DEBIT 765341018387 UNIVERSITYFEES,Education
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/128668457124/ZOMATO,Food & Drinks
UPI/P2M/858223340190/GIFT,Miscellaneous
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 256503484142 LOCALSUPERMARKET,Groceries
UPI/P2M/832379183472/SWIGGY,Food & Drinks
POS DEBIT 680779026980 CULTFIT,Health & Fitness
UPI/P2M/733717444656/GROWW,Investments
POS DEBIT 908210863492 UNIVERSITYFEES,Education
UPI/P2M/441586453794/MYPROTEIN,Health & Fitness
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 290600741808 MUTUALFUNDSIP,Investments
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/970202131588/BOOKMYSHOW,Entertainment
UPI/P2M/781486666613/ZEPTO,Groceries
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 230906378747 REDBUS,Travel & Transport
POS DEBIT 143319430486 CASHWITHDRAWAL,Withdrawals
UPI/P2M/859020284732/BOOKMYSHOW,Entertainment
NEFT CR-315013734324-RENTAL INCOME,Income
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
NEFT CR-629314564429-SALARY CREDIT,Income
UPI/P2M/610127489938/ZARA,Shopping
POS DEBIT 733094935602 THEBEERCAFE,Food & Drinks
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 407288834709 REDBUS,Travel & Transport
POS DEBIT 303420346503 UNIVERSITYFEES,Education
POS DEBIT 519331121819 CASHWITHDRAWAL,Withdrawals
POS DEBIT 964376772832 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/706711447218/BOOKMYSHOW,Entertainment
UPI/P2M/153496288897/MCDONALDS,Food & Drinks
NEFT CR-597916305621-FREELANCE PAYMENT,Income
UPI/P2M/815315722291/ZERODHA,Investments
NEFT CR-191156468101-RENTAL INCOME,Income
NEFT CR-577952824144-RENTAL INCOME,Income
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/140683226969/ZEPTO,Groceries
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/260754902323/COURSERA,Education
UPI/P2M/328316166331/MYPROTEIN,Health & Fitness
UPI/P2M/652607433840/BIGBASKET,Groceries
POS DEBIT 404665262365 LOCALGYM,Health & Fitness
NEFT CR-355969321875-RENTAL INCOME,Income
POS DEBIT 387414355196 DOMINOSPIZZA,Food & Drinks
UPI/P2M/899119737439/BIGBASKET,Groceries
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/174133881522/ZEPTO,Groceries
UPI/P2M/883322655048/GROWW,Investments
POS DEBIT 191320147967 UNIVERSITYFEES,Education
POS DEBIT 307274910620 MUTUALFUNDSIP,Investments
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/876126893494/COURSERA,Education
UPI/P2M/532596889221/NETFLIX.COM,Entertainment
UPI/P2M/763625270507/COURSERA,Education
POS DEBIT 222080699339 LOCALGYM,Health & Fitness
POS DEBIT 196041024857 RELIANCEDIGITAL,Shopping
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/600466923626/MYNTRA,Shopping
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/251669128846/COURSERA,Education
POS DEBIT 212575134680 INDIANRAILWAYS,Travel & Transport
NEFT CR-287054278879-RENTAL INCOME,Income
UPI/P2M/908839987264/UPSTOX,Investments
POS DEBIT 246428028743 MISCPURCHASE,Miscellaneous
POS DEBIT 558590040045 CASHWITHDRAWAL,Withdrawals
UPI/P2M/224762756321/ZERODHA,Investments
UPI/P2M/194448711075/BOOKMYSHOW,Entertainment
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/619028053885/JIOMART,Groceries
UPI/P2M/603626914406/GIFT,Miscellaneous
UPI/P2M/832816351809/GOIBIBO,Travel & Transport
POS DEBIT 902421318317 UNIVERSITYFEES,Education
UPI/P2M/871911123900/NETFLIX.COM,Entertainment
UPI/P2M/333707858606/MYPROTEIN,Health & Fitness
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 864725512200 THEBEERCAFE,Food & Drinks
UPI/P2M/452690410101/SWIGGY,Food & Drinks
POS DEBIT 150172706060 LOCALSUPERMARKET,Groceries
POS DEBIT 793391208731 PVRCINEMAS,Entertainment
NEFT CR-391324167720-SALARY CREDIT,Income
POS DEBIT 204479472790 CULTFIT,Health & Fitness
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 950196794401 OLACABS,Travel & Transport
POS DEBIT 576269597717 CASHWITHDRAWAL,Withdrawals
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/301367126143/AIRTEL,Bills & Utilities
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/620058066632/COURSERA,Education
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/932601583654/BOOKMYSHOW,Entertainment
POS DEBIT 558657275157 CASHWITHDRAWAL,Withdrawals
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 605067538520 THEBEERCAFE,Food & Drinks
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/877457229905/ZEPTO,Groceries
POS DEBIT 968229623668 LOCALSUPERMARKET,Groceries
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
NEFT CR-183186354219-FREELANCE PAYMENT,Income
POS DEBIT 322382650648 DOMINOSPIZZA,Food & Drinks
POS DEBIT 742053098650 UNIVERSITYFEES,Education
POS DEBIT 231119463949 INDIANRAILWAYS,Travel & Transport
POS DEBIT 425502095259 APOLLOPHARMACY,Health & Fitness
POS DEBIT 720970699605 APOLLOPHARMACY,Health & Fitness
UPI/P2M/166416601279/JIOMART,Groceries
NEFT CR-514255693835-SALARY CREDIT,Income
POS DEBIT 888783957061 DOMINOSPIZZA,Food & Drinks
POS DEBIT 301234338875 INDIANRAILWAYS,Travel & Transport
NEFT CR-645340434273-FREELANCE PAYMENT,Income
POS DEBIT 163056655304 CASHWITHDRAWAL,Withdrawals
POS DEBIT 936037323645 UNIVERSITYFEES,Education
NEFT CR-318973346199-SALARY CREDIT,Income
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 379807407479 DOMINOSPIZZA,Food & Drinks
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/160999398710/MAKEMYTRIP,Travel & Transport
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/703162271281/ZOMATO,Food & Drinks
POS DEBIT 220817339201 PRIMEVIDEO,Entertainment
POS DEBIT 597029089471 UNIVERSITYFEES,Education
POS DEBIT 654261417918 APOLLOPHARMACY,Health & Fitness
POS DEBIT 676818370319 INDIANRAILWAYS,Travel & Transport
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/815315722291/ZERODHA,Investments
NEFT CR-644954616699-FREELANCE PAYMENT,Income
POS DEBIT 550531922290 UNIVERSITYFEES,Education
UPI/P2M/697958321289/GOIBIBO,Travel & Transport
NEFT CR-694860874480-RENTAL INCOME,Income
POS DEBIT 661528464575 MUTUALFUNDSIP,Investments
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/602772659444/GOIBIBO,Travel & Transport
POS DEBIT 923766362719 INDIANRAILWAYS,Travel & Transport
UPI/P2M/334938298653/UDEMY,Education
POS DEBIT 540979312937 CASHWITHDRAWAL,Withdrawals
POS DEBIT 160670599897 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
NEFT CR-142422542102-SALARY CREDIT,Income
UPI/P2M/522481201273/UDEMY,Education
POS DEBIT 558905813956 LOCALGYM,Health & Fitness
POS DEBIT 856387279652 PRIMEVIDEO,Entertainment
UPI/P2M/469365207910/GOIBIBO,Travel & Transport
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 637909821090 UNIVERSITYFEES,Education
POS DEBIT 490691654037 CASHWITHDRAWAL,Withdrawals
UPI/P2M/817358376031/JIOMART,Groceries
POS DEBIT 370389346803 CASHWITHDRAWAL,Withdrawals
UPI/P2M/892141499559/GROWW,Investments
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/511518772344/NETFLIX.COM,Entertainment
UPI/P2M/248128331298/BIGBASKET,Groceries
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/666660537277/NETFLIX.COM,Entertainment
